id,self,name,type
325,https://issues.apache.org/jira/rest/agile/1.0/board/325,Beam (all/historical),kanban
352,https://issues.apache.org/jira/rest/agile/1.0/board/352,Beam 2020 - Load testing and improvements,scrum
464,https://issues.apache.org/jira/rest/agile/1.0/board/464,Beam Flakes,kanban
242,https://issues.apache.org/jira/rest/agile/1.0/board/242,Beam Gradle Migration,kanban
514,https://issues.apache.org/jira/rest/agile/1.0/board/514,Beam open with PR,kanban
525,https://issues.apache.org/jira/rest/agile/1.0/board/525,Beam Python Interrupts,kanban
371,https://issues.apache.org/jira/rest/agile/1.0/board/371,Beam SQL Kanban,kanban
519,https://issues.apache.org/jira/rest/agile/1.0/board/519,Beam Starter Tasks,kanban
456,https://issues.apache.org/jira/rest/agile/1.0/board/456,Beam Triage,kanban
474,https://issues.apache.org/jira/rest/agile/1.0/board/474,Beam Triage,kanban
522,https://issues.apache.org/jira/rest/agile/1.0/board/522,Beam Triage (last 6 months),kanban
511,https://issues.apache.org/jira/rest/agile/1.0/board/511,Branch 2.x Release,kanban
50,https://issues.apache.org/jira/rest/agile/1.0/board/50,Brooklyn Kanban,kanban
193,https://issues.apache.org/jira/rest/agile/1.0/board/193,browser-next,kanban
212,https://issues.apache.org/jira/rest/agile/1.0/board/212,BUG BASH,kanban
107,https://issues.apache.org/jira/rest/agile/1.0/board/107,Camera issues,kanban
355,https://issues.apache.org/jira/rest/agile/1.0/board/355,Cassandra 4.0GAScope,kanban
546,https://issues.apache.org/jira/rest/agile/1.0/board/546,Cassandra 4.1 GA scope,kanban
593,https://issues.apache.org/jira/rest/agile/1.0/board/593,Cassandra 5.0 GA scope,kanban
595,https://issues.apache.org/jira/rest/agile/1.0/board/595,Cassandra 5.1 GA,kanban
609,https://issues.apache.org/jira/rest/agile/1.0/board/609,Cassandra Java Client Driver,kanban
463,https://issues.apache.org/jira/rest/agile/1.0/board/463,Cassandra Non committers,kanban
83,https://issues.apache.org/jira/rest/agile/1.0/board/83,Cassandra Release Plan,scrum
39,https://issues.apache.org/jira/rest/agile/1.0/board/39,Cassandra Test Engineering,kanban
495,https://issues.apache.org/jira/rest/agile/1.0/board/495,Cassandra website & documentation,kanban
496,https://issues.apache.org/jira/rest/agile/1.0/board/496,CassandraOpenTestFailures,kanban
578,https://issues.apache.org/jira/rest/agile/1.0/board/578,Catalyst-Backlog,scrum
87,https://issues.apache.org/jira/rest/agile/1.0/board/87,Causeway Kanban,kanban
599,https://issues.apache.org/jira/rest/agile/1.0/board/599,classic,kanban
